,year,demographic_A,demographic_B,question,p-value
0,2018,female,male,Employment status Spouse/partner,0.0
1,2018,female,male,"Jobs scarce: Men should have more right to a job than women
(5-point scale)",1.284555805e-60
2,2018,female,male,Confidence: Armed Forces,5.49098331e-28
3,2018,female,male,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge,1.96368544e-22
4,2018,female,male,Justifiable: Claiming government benefits to which you are not entitled,7.000000000000001e-10
5,2018,female,male,Democracy: People choose their leaders in free elections.,0.0002685891
6,2018,female,male,Believe in: life after death,6.813195252e-41
7,2018,female,male,Justifiable: Divorce,1e-10
8,2018,female,male,"How close you feel: Continent; e.g. Europe, Asia etc.",1.905051352e-16
9,2018,female,male,Important child qualities: religious faith,1.5981200000000002e-05
10,2018,female,male,Duty towards society to have children,8.01704813e-22
11,2018,female,male,Believe in: God,7.116755019e-57
12,2018,female,male,Income equality,0.0003874036
13,2018,female,male,Important child qualities: imagination,0.0
14,2018,female,male,Protecting environment vs. Economic growth,0.0014896708
15,2018,female,male,Highest educational level attained - Respondent: ISCED‐code one digit,2.684839625e-23
16,2018,female,male,Justifiable: Homosexuality,2.063982618e-31
17,2018,female,male,Political system: Having experts make decisions,1.89e-08
18,2018,female,male,Aims of country: second choice,0.0021982760000000003
19,2018,female,male,Employment status Respondent,0.0
20,2018,female,male,Occupational group - respondent´s father (EVS5 - main earner) (respondent  14 years old) ,0.0028233524
21,2018,female,male,Political system: Having a democratic political system,8.46e-08
22,2018,female,male,How often in country's elections: Voters are bribed,8.4978e-06
23,2018,female,male,Neighbours: Drug addicts,2.1e-09
24,2018,female,male,How often do you pray (WVS7),3.223873735e-28
25,2018,female,male,Marital status,0.0
26,2018,female,male,Work should come first even if it means less spare time,1.41645279e-24
27,2018,female,male,Men make better business executives than women do,8.995282182e-112
28,2018,female,male,Democracy: The state makes people's incomes equal,0.0001233142
29,2018,female,male,Important in life: Family,5.702118798e-24
30,2018,female,male,Willingness to fight for country,6.5553814539999996e-223
31,2018,female,male,"Member:  Self-help group, mutual aid group",6.05565e-05
32,2018,female,male,"How close you feel: Your village, town or city",5.21e-08
33,2018,female,male,Important child qualities: good manners,0.00011903630000000001
34,2018,female,male,Evaluate the impact of immigrants on the development of [your country],7.53e-08
35,2018,female,male,Government has the right: Monitor all e-mails and any other information exchanged on the Internet,3.6083449529999997e-16
36,2018,female,male,Confidence: The United Nations,6.61919e-05
37,2018,female,male,Interest in politics,3.923665978e-131
38,2018,female,male,Political system: Having a strong leader,0.0022079527000000002
39,2018,female,male,Scale of incomes (WVS7),0.0074416455
40,2018,female,male,Confidence: Churches,0.0
41,2018,female,male,Democracy: Women have the same rights as men.,7.270670291000001e-18
42,2018,female,male,How important is God in your life,3.66504551e-49
43,2018,female,male,Important child qualities: determination perseverance,3.95e-08
44,2018,female,male,Feeling of happiness,6.30577e-05
45,2018,female,male,Important child qualities: obedience,2.03178e-05
46,2018,female,male,Highest educational level attained - Respondent´s Spouse:  ISCED‐code one digit,1.290545526e-19
47,2018,female,male,Important in life: Politics,9.357015425e-46
48,2018,female,male,University is more important for a boy than for a girl,1.121879244e-55
49,2018,female,male,Democracy: The army takes over when government is incompetent.,0.0012539848000000001
50,2018,female,male,State of health (subjective),0.0
51,2018,female,male,Justifiable: Political violence,0.00041920710000000003
52,2018,female,male,Member: Belong to labour unions,1.9626085440000003e-31
53,2018,female,male,Democracy: Governments tax the rich and subsidize the poor.,0.0013284254
54,2018,female,male,How close you feel: World,0.0
55,2018,female,male,Justifiable: Avoiding a fare on public transport,7.7855e-06
56,2018,female,male,Pre-school child suffers with working mother,0.0026627268
57,2018,female,male,Age recoded (6 intervals),4.902e-07
58,2018,female,male,Member: Belong to sports or recreation,1.5447351739999997e-129
59,2018,female,male,Justifiable: Having casual sex,1.957825003e-61
60,2018,female,male,Aims of country: first choice,1.427644783e-17
61,2018,female,male,Important child qualities: hard work,4.1732e-06
62,2018,female,male,"How close do you feel: to your county, region, district ",0.0
63,2018,female,male,Occupational group - respondent (WVS7),0.0
64,2018,female,male,Government has the right: Keep people under video surveillance in public areas,0.0007086251
65,2018,female,male,Confidence: The Press,6.87e-08
66,2018,female,male,Member: Belong to political parties,4.489849772e-51
67,2018,female,male,How often in country's elections: TV news favors the governing party,1.2663218260000001e-17
68,2018,female,male,Aims of respondent: first choice,1e-10
69,2018,female,male,Homosexual couples are as good parents as other couples,1.1875184160000002e-62
70,2018,female,male,How often in country's elections: Voters are threatened with  violence at the polls,0.0073788649000000005
71,2018,female,male,"Member: Belong to conservation, the environment, ecology, animal rights",5.2089e-06
72,2018,female,male,Member: Belong to religious organization,2.78e-08
73,2018,female,male,Private vs state ownership of business,2.1808e-06
74,2018,female,male,Important in life: Work,4.773056732999999e-65
75,2018,female,male,Trust: People you meet for the first time (B),1.1000000000000001e-09
76,2018,female,male,"Father immigrant / born in country
",0.0052520639
77,2018,female,male,Important child qualities: independence,2.184e-07
78,2018,female,male,Men make better political leaders than women do,3.764204894e-105
79,2018,female,male,Religious person,2.3379952529999997e-93
80,2018,female,male,Justifiable: Prostitution,2.4695651530000003e-35
81,2018,female,male,Member: Belong to professional associations,1.077666658e-39
82,2018,female,male,Neighbours: Homosexuals,8.352381508000001e-19
83,2018,female,male,Justifiable: Abortion,0.0011516123
84,2018,female,male,"Jobs scarce: Employers should give priority to (nation) people than immigrants
(5-point scale)",3.8495e-06
85,2018,female,male,Occupational group - respondent´s spouse (WVS7),0.0
86,2018,female,male,Justifiable: Cheating on taxes,1.227e-07
87,2018,female,male,How much freedom of choice and control,0.0
88,2018,female,male,Confidence: Major Companies,8.455e-07
89,2018,female,male,Work is a duty towards society,1.32238545e-20
90,2018,female,male,Member: Belong to other groups,9.647102468999999e-16
91,2018,female,male,How often in country's elections: Opposition candidates are prevented from running,8.3771e-06
92,2018,female,male,Competition good or harmful,3.471953857e-18
93,2018,female,male,"Mother immigrant / born in country
",0.0035400735
94,2018,female,male,Political action: joining in boycotts,1.704982129e-20
95,2018,female,male,Religious denomination,7.841341346e-30
96,2018,female,male,Justifiable: Death penalty,1.3114842650000001e-27
97,2018,female,male,People who don´t work turn lazy,9.03903e-05
98,2018,female,male,Justifiable: Someone accepting a bribe,3.645e-07
99,2018,female,male,Confidence: Parliament,6.870840000000001e-05
100,2018,female,male,How much you trust: Your family (B),0.0025314539000000002
101,2018,female,male,Do you live with your parents,1.1939984189999997e-38
102,2018,female,male,Important in life: Friends,0.0006570114
103,2018,female,male,Political action: signing a petition,0.000819135
104,2018,female,male,Confidence: Justice System/Courts,0.0022299028
105,2018,female,male,Important child qualities: feeling of responsibility,3.3e-09
106,2018,female,male,It is childs duty to take care of ill parent,1e-09
107,2018,female,male,Vote in elections: National level,0.0046518922
108,2018,female,male,How close do you feel: to country ,4.0684693700000003e-26
109,2018,female,male,How often do you attend religious services,1.910889074e-41
110,2018,female,male,Confidence: Labour Unions,3.9e-09
111,2018,female,male,Political action: joining unofficial strikes,1.274404198e-49
112,2018,female,male,How often in country's elections: Election officials are fair,0.0005660818
113,2018,female,male,Political system: Having the army rule,0.0007568559
114,2018,female,male,Future changes: greater respect for authority,0.0036837088000000002
115,2018,female,male,Trust: Your neighborhood (B),9.39e-08
116,2018,female,male,Political action: attending lawful/peaceful demonstrations,1.362941702e-64
117,2018,female,male,Believe in: hell,0.0
118,2018,female,male,Believe in: heaven,2.115374633e-50
119,2018,female,male,Democracy: People obey their rulers,3.0475e-06
120,2018,female,male,One of main goals in life has been to make my parents proud,6.70973e-05
121,2018,female,male,Important in life: Religion,0.0
122,2018,female,male,Member: Belong to consumer groups,0.0001036849
123,2018,female,male,Institution of occupation,7.779339669000001e-61
124,2018,female,male,Self positioning in political scale,0.0
125,2018,female,male,Important child qualities: tolerance and respect for other people,2.1902821800000003e-46
126,2018,female,male,Neighbours: Heavy drinkers,1.8220630450000001e-53
127,2020,female,male,Employment status Spouse/partner,7.863116945e-77
128,2020,female,male,"Jobs scarce: Men should have more right to a job than women
(5-point scale)",6.032382116e-16
129,2020,female,male,Confidence: Armed Forces,4.297001159e-18
130,2020,female,male,Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge,0.0012153263
131,2020,female,male,Justifiable: Claiming government benefits to which you are not entitled,0.0005879888000000001
132,2020,female,male,Believe in: life after death,2.3120863169999997e-20
133,2020,female,male,Justifiable: Divorce,7.74e-08
134,2020,female,male,"How close you feel: Continent; e.g. Europe, Asia etc.",2.368e-07
135,2020,female,male,Duty towards society to have children,0.0001591772
136,2020,female,male,Important child qualities: thrift saving money and things,0.0002118923
137,2020,female,male,Believe in: God,2.361235662e-32
138,2020,female,male,Income equality,0.0009843944000000001
139,2020,female,male,Important child qualities: imagination,2.92878e-05
140,2020,female,male,Protecting environment vs. Economic growth,0.00017749510000000001
141,2020,female,male,Highest educational level attained - Respondent: ISCED‐code one digit,6.781700000000001e-06
