"Joint EVS/WVS
Variable Name","Joint EVS/WVS
Variable Label",,"EVS 2017 
Variable Name

","EVS 2017 
Variable Label",,"WVS 7
Variable Name","WVS 7
Variable Label",,,,,,,,,,,,,,,,,,
study,Study,, --, --,,A_STUDY,Study,,,,,,,,,,,,,,,,,,
wave,Wave,,Wave,Wave,,A_WAVE,Wave,,,,,,,,,,,,,,,,,,
version,Version of Joint Data File,, --, --,, --, --,,,,,,,,,,,,,,,,,,
versn_s,Version of EVS5 and WVS7 source data files,,version_EVS,GESIS archive version,, --, --,,,,,,,,,,,,,,,,,,
doi_gesis,Digital Object Identifier (GESIS doi),,doi_EVS,Digital Object Identifier,, --, --,,,,,,,,,,,,,,,,,,
doi_wvsa,Digital Object Identifier (WVSA doi),,,,,,,,,,,,,,,,,,,,,,,,
studytit,Source of the Joint dataset,, --, --,, --, --,,,,,,,,,,,,,,,,,,
uniqid,Unified respondent number (Joint),, --, --,, --, --,,,,,,,,,,,,,,,,,,
intrvwr_id,Interviewer number,,v282,interviewer number (Q111),,L_INTERVIEWER_NUMBER,Interviewer number,,,,,,,,,,,,,,,,,,
cntry,Country (ISO 3166-1 Numeric code),,country,country code (ISO 3166-1 numeric code),,B_COUNTRY,Country/region,,,,,,,,,,,,,,,,,,
cntry_AN,Country (ISO 3166-1 Alpha-2 code),,c_abrv,country abbreviation (ISO 3166-1 Alpha-2 code),,B_COUNTRY_ALPHA,ISO 3166-1 alpha-3 country code,,,,,,,,,,,,,,,,,,
cntrycow,Country (CoW Numeric code),, --, --,,C_COW_NUM,CoW country code numeric,,,,,,,,,,,,,,,,,,
year,Year survey,,year,survey year,,A_YEAR,Year survey,,,,,,,,,,,,,,,,,,
fw_start,Year/month of start-fieldwork,,fw_start,year/month of start-fieldwork,, --, --,,,,,,,,,,,,,,,,,,
fw_end,Year/month of end-fieldwork,,fw_end,year/month of end-fieldwork,, --, --,,,,,,,,,,,,,,,,,,
cntry_y,Country - year,,cntry_y,country and year of FW (ISO 3166-1 numeric code),,S025,Country - year,,,,,,,,,,,,,,,,,,
mode,Mode of data collection,,mode,mode of data collection,,Q_MODE,Q_MODE Mode of data collection,,,,,,,,,,,,,,,,,,
mm_mixed_mode_EVS5,Mixed mode/matrix design (EVS5),,mm_mixed_mode,mixed mode/matrix design,, --, --,,,,,,,,,,,,,,,,,,
mm_mode_fu_EVS5,Mode of data collection (follow-up) (EVS5),,mm_mode_fu,mode of data collection (follow-up),, --, --,,,,,,,,,,,,,,,,,,
mm_matrix_group_EVS5,Matrix attribution (group/variable bloc) (EVS5),,mm_matrix_group,matrix attribution (group/variable bloc),, --, --,,,,,,,,,,,,,,,,,,
mm_fw_start_fu_EVS5,Year/month of start-fieldwork (matrix design) (EVS5),,mm_fw_start_fu,year/month of start-fieldwork (matrix design),, --, --,,,,,,,,,,,,,,,,,,
mm_fw_end_fu_EVS5,Year/month of end-fieldwork (matrix design) (EVS5),,mm_fw_end_fu,year/month of end-fieldwork (matrix design),, --, --,,,,,,,,,,,,,,,,,,
mm_year_fu_EVS5,Survey year (follow-up) (EVS5),,mm_year_fu,survey year (follow-up),, --, --,,,,,,,,,,,,,,,,,,
ivlength,Total length of interview,,v279d_r,time of interview: duration in minutes (constructed) (Q109),,K_DURATION,Total length of interview [minutes],,,,,,,,,,,,,,,,,,
ivstart,Time of the interview - Start [hh.mm],,v278c_r,time of interview: start (constructed) (Q108),,K_TIME_START,Start time of the interview [HH.MM],,,,,,,,,,,,,,,,,,
ivstend,Time of the interview - End [hh.mm],,v279c_r,time of interview: end (constructed) (Q108),,K_TIME_END,End time of the interview [HH.MM],,,,,,,,,,,,,,,,,,
ivdate,Date interview [YYYYMMDD],,v277,date of interview (Q107),,J_INTDATE,Date interview,,,,,,,,,,,,,,,,,,
mm_v277_fu_EVS5,Date of interview (follow-up) (EVS5),,mm_v277_fu,date of interview (Q107) (follow-up),, --, --,,,,,,,,,,,,,,,,,,
mm_v278a_fu_r_EVS5,Time of ithe nterview -Start (constructed)  (follow-up) (EVS5),,mm_v278a_fu_r,time of interview: start (constructed)  (Q108) (follow-up),, --, --,,,,,,,,,,,,,,,,,,
